Phase,Count,Frequency
0001-0301-0303,4,4e-4
0002-0010-0300-0302,2,2e-4
0002-0010-0302,2,2e-4
0002-0302,1,1e-4
0003-0010-0303,1,1e-4
0003-0303,1,1e-4
0010,60,0.006
0010-0011,3,3e-4
0010-0011-0300-0301,6,6e-4
0010-0011-0310-0311,1,1e-4
0010-0011-0311,1,1e-4
0010-0012,1,1e-4
0010-0012-0300-0302,5,5e-4
0010-0012-0302,2,2e-4
0010-0012-0302-0310,1,1e-4
0010-0012-0310-0312,2,2e-4
0010-0012-0312,6,6e-4
0010-0013,4,4e-4
0010-0013-0210-0303,2,2e-4
0010-0013-0210-0303-0310,1,1e-4
0010-0013-0213,1,1e-4
0010-0013-0300-0303,14,0.0014
0010-0013-0303,59,0.0059
0010-0013-0303-0310,5,5e-4
0010-0013-0313,7,7e-4
0010-0100-0300,3,3e-4
0010-0100-0300-0303,7,7e-4
0010-0110,1,1e-4
0010-0110-0300,1,1e-4
0010-0110-0300-0303,2,2e-4
0010-0110-0303,2,2e-4
0010-0110-0312,1,1e-4
0010-0112-0212,1,1e-4
0010-0113-0210-0303,1,1e-4
0010-0113-0300-0303,1,1e-4
0010-0113-0303,7,7e-4
0010-0113-0303-0310,1,1e-4
0010-0113-0310-0313,1,1e-4
0010-0113-0313,2,2e-4
0010-0200-0300-0303,1,1e-4
0010-0210,3,3e-4
0010-0210-0300,4,4e-4
0010-0210-0300-0303,6,6e-4
0010-0210-0303,9,9e-4
0010-0210-0310,1,1e-4
0010-0210-0312,1,1e-4
0010-0210-0313,1,1e-4
0010-0300,86,0.0086
0010-0300-0302,5,5e-4
0010-0300-0303,178,0.0178
0010-0300-0303-0310,3,3e-4
0010-0302,2,2e-4
0010-0302-0310,2,2e-4
0010-0303,77,0.0077
0010-0303-0310,41,0.0041
0010-0310,13,0.0013
0010-0310-0313,3,3e-4
0010-0313,5,5e-4
0011-0013-0111-0301-0303,1,1e-4
0011-0013-0301-0303,3,3e-4
0011-0013-0303,3,3e-4
0011-0013-0303-0311,6,6e-4
0011-0101-0301-0303,1,1e-4
0011-0201-0301-0303,1,1e-4
0011-0211-0301,1,1e-4
0011-0300-0301,1,1e-4
0011-0301,1,1e-4
0011-0301-0303,12,0.0012
0011-0303-0311,1,1e-4
0011-0311,1,1e-4
0011-0313,1,1e-4
0012-0013-0302-0303,1,1e-4
0012-0302,4,4e-4
0013-0303,14,0.0014
0013-0313,3,3e-4
0100-0300-0302-1000-1002,1,1e-4
0100-0300-1000,1,1e-4
0101-0301,1,1e-4
0102-0300-0302-1002-1010,1,1e-4
0103-0300-0303-1003-1010,1,1e-4
0103-0303-1001-1003,1,1e-4
0103-0303-1003-1010,1,1e-4
0110,1,1e-4
0110-0210-0300-0303,1,1e-4
0110-0210-0300-0303-1010,1,1e-4
0110-0210-0300-1010,1,1e-4
0110-0210-0303-1010-1013,1,1e-4
0110-0210-1010,1,1e-4
0110-0300,3,3e-4
0110-0300-0302,3,3e-4
0110-0300-0302-1010,1,1e-4
0110-0300-0303,3,3e-4
0110-0300-0303-1010,8,8e-4
0110-0300-0303-1010-1013,2,2e-4
0110-0300-1010,4,4e-4
0110-0302-0310,1,1e-4
0110-0303,4,4e-4
0110-0303-0310,2,2e-4
0110-0303-0310-1010,15,0.0015
0110-0303-0310-1010-1013,1,1e-4
0110-0303-1010,3,3e-4
0110-0310,2,2e-4
0110-0310-0312,1,1e-4
0110-0310-1010,3,3e-4
0111-0113-0301-0303-1011-1013,2,2e-4
0111-0113-0303-0311-1011-1013,2,2e-4
0111-0113-0311-0313-1011-1013,1,1e-4
0111-0300-0301-1010-1011,2,2e-4
0111-0301,1,1e-4
0111-0301-1011,1,1e-4
0111-0303-0311-1011,2,2e-4
0111-0303-0311-1011-1013,2,2e-4
0112-0300-0302-1010-1012,1,1e-4
0112-0302-0303,1,1e-4
0112-0302-1010-1012,1,1e-4
0112-0312,1,1e-4
0113-0300-0303-0310-1010-1013,1,1e-4
0113-0300-0303-1010,1,1e-4
0113-0300-0303-1010-1013,8,8e-4
0113-0301-0303-1011,1,1e-4
0113-0301-0303-1011-1013,2,2e-4
0113-0303,3,3e-4
0113-0303-0310-1010-1013,4,4e-4
0113-0303-1010,6,6e-4
0113-0303-1010-1013,37,0.0037
0113-0303-1011,1,1e-4
0113-0303-1013,19,0.0019
0113-0313-1010,1,1e-4
0113-0313-1010-1013,4,4e-4
0113-0313-1010-1113,1,1e-4
0113-0313-1013,1,1e-4
0200-0202-0300-0302-1010-1012,1,1e-4
