Phase,Count,Frequency
0000-0300-0303,2,2e-4
0001-0301-0303,3,3e-4
0002-0010,1,1e-4
0002-0010-0300-0302,2,2e-4
0010,23,0.0023
0010-0011,2,2e-4
0010-0011-0200-0201-0300-0301,1,1e-4
0010-0011-0300-0301,3,3e-4
0010-0012-0210-0302,1,1e-4
0010-0012-0300-0302,2,2e-4
0010-0012-0302,3,3e-4
0010-0012-0310-0312,1,1e-4
0010-0012-0312,3,3e-4
0010-0013-0110-0303,1,1e-4
0010-0013-0113-0303,1,1e-4
0010-0013-0200-0300-0303,1,1e-4
0010-0013-0210-0300-0303,1,1e-4
0010-0013-0213,1,1e-4
0010-0013-0300-0303,5,5e-4
0010-0013-0303,49,0.0049
0010-0013-0303-0310,7,7e-4
0010-0013-0313,8,8e-4
0010-0100-0300-0303,6,6e-4
0010-0110-0300-0303,1,1e-4
0010-0110-0303,3,3e-4
0010-0110-0303-0310,1,1e-4
0010-0112-0312,2,2e-4
0010-0113-0300-0303,4,4e-4
0010-0113-0303,6,6e-4
0010-0113-0303-0310,2,2e-4
0010-0113-0313,3,3e-4
0010-0200-0300,1,1e-4
0010-0200-0300-0303,3,3e-4
0010-0200-0303,2,2e-4
0010-0210,4,4e-4
0010-0210-0300,1,1e-4
0010-0210-0300-0303,2,2e-4
0010-0210-0303,16,0.0016
0010-0210-0313,3,3e-4
0010-0300,24,0.0024
0010-0300-0302,5,5e-4
0010-0300-0303,111,0.0111
0010-0303,67,0.0067
0010-0303-0310,51,0.0051
0010-0310,9,9e-4
0010-0310-0312,2,2e-4
0010-0310-0313,5,5e-4
0010-0312,1,1e-4
0010-0313,4,4e-4
0011,1,1e-4
0011-0013-0101-0301-0303,1,1e-4
0011-0013-0211-0301-0303,1,1e-4
0011-0013-0301-0303,4,4e-4
0011-0013-0303,1,1e-4
0011-0013-0303-0311,7,7e-4
0011-0013-0313,1,1e-4
0011-0101-0301-0303,1,1e-4
0011-0201-0301-0303,3,3e-4
0011-0301-0303,2,2e-4
0011-0303-0311,1,1e-4
0011-0313,1,1e-4
0013-0203-0303,1,1e-4
0013-0303,15,0.0015
0013-0313,2,2e-4
0100-0300-0303,2,2e-4
0100-0300-0303-1000,1,1e-4
0100-0300-1000,1,1e-4
0101-0102-0301-1001-1002,1,1e-4
0101-0301-0303,2,2e-4
0101-0301-0303-1001,2,2e-4
0101-0301-0303-1001-1003,1,1e-4
0102-0300-0302-1002-1010,1,1e-4
0103-0300-0303-1003-1010,2,2e-4
0103-0303-1003-1010,3,3e-4
0110,4,4e-4
0110-0111-0300-0301,1,1e-4
0110-0111-0310-0311,2,2e-4
0110-0111-1010-1011,1,1e-4
0110-0112-0300-0302-1010-1012,1,1e-4
0110-0112-0302-0310-1010-1012,2,2e-4
0110-0113-0300-0303-1010-1013,2,2e-4
0110-0113-0303-0310,1,1e-4
0110-0113-0303-0310-1010,2,2e-4
0110-0113-0303-0310-1010-1013,4,4e-4
0110-0113-0310-0313-1010-1013,1,1e-4
0110-0200-0300-0303,1,1e-4
0110-0212-0312-1010-1012,1,1e-4
0110-0300-0303,7,7e-4
0110-0300-0303-1003-1010,1,1e-4
0110-0300-0303-1010,33,0.0033
0110-0300-0303-1010-1013,2,2e-4
0110-0300-1010,1,1e-4
0110-0303,11,0.0011
0110-0303-0310,7,7e-4
0110-0303-0310-1010,17,0.0017
0110-0303-0310-1010-1013,8,8e-4
0110-0303-1010,4,4e-4
0110-0310,3,3e-4
0110-0310-0311-1010-1011,1,1e-4
0110-0310-0312-1010,1,1e-4
0110-0310-0312-1010-1012,2,2e-4
0110-0310-0313-1010,4,4e-4
0110-0310-1010,6,6e-4
0110-0312,1,1e-4
0110-0312-1010-1012,1,1e-4
0110-0313,2,2e-4
0110-0313-1010,2,2e-4
0110-0313-1010-1013,1,1e-4
0110-1010,1,1e-4
0111-0113-0301-0303-1011,1,1e-4
0111-0113-0301-0303-1011-1013,1,1e-4
0111-0113-0303-0311,2,2e-4
0111-0113-0303-0311-1011-1013,3,3e-4
0111-0113-0311-0313-1011-1013,2,2e-4
0111-0301-0303,3,3e-4
0111-0301-0303-1003-1011,1,1e-4
0111-0301-0303-1011,7,7e-4
0111-0301-0303-1011-1013,1,1e-4
0111-0303-0311,1,1e-4
0111-0303-0311-1011,4,4e-4
0111-0310-0311-1010-1011,1,1e-4
0111-0311-1010-1011,1,1e-4
0112-0113-0302-0303,1,1e-4
0112-0210-0300-0302-1010-1012,1,1e-4
0112-0300-0302-1010-1012,2,2e-4
0112-0302-1012,1,1e-4
0112-0312-1010-1012,2,2e-4
0113-0210-0300-0303-1010-1013,1,1e-4
0113-0210-0303-1010-1013,4,4e-4
0113-0300-0303-1010-1013,20,0.002
0113-0301-0303-1011,1,1e-4
0113-0301-0303-1011-1013,9,9e-4
0113-0303,1,1e-4
0113-0303-0310-1010,1,1e-4
0113-0303-0310-1010-1013,13,0.0013
0113-0303-0311-1011-1013,1,1e-4
0113-0303-1010,6,6e-4
0113-0303-1010-1013,78,0.0078
0113-0303-1011-1013,1,1e-4
0113-0303-1013,22,0.0022
0113-0310-0313-1010-1013,1,1e-4
0113-0313,1,1e-4
0113-0313-1010,1,1e-4
0113-0313-1010-1013,5,5e-4
0113-0313-1013,2,2e-4
0200-0202-0300-0302-1002-1010,2,2e-4
0200-0300-0302-1010-1012,2,2e-4
0200-0300-0302-1010-1012-1102,1,1e-4
0200-0300-0303,1,1e-4
0200-0300-0303-1000,1,1e-4
0200-0300-0303-1003-1010,4,4e-4
0200-0300-0303-1010,21,0.0021
0200-0300-0303-1010-1013,11,0.0011
0200-0300-0303-1010-1013-1103,1,1e-4
0200-0300-0303-1010-1103,1,1e-4
0200-0300-1010,13,0.0013
0201-0301-0303-1001,1,1e-4
0201-0301-0303-1001-1103,1,1e-4
0201-0301-0303-1011-1013,4,4e-4
0202-0302-1010-1012,1,1e-4
0202-0302-1012,1,1e-4
0202-1002-1010,1,1e-4
0203-0300-0303-1003-1010,2,2e-4
0203-0303-0310-1010-1013,1,1e-4
0203-0303-1003-1010,3,3e-4
0203-0303-1010-1013,1,1e-4
0203-0303-1011-1013,1,1e-4
0210-0211-1010-1011,4,4e-4
0210-0212-0302-1010-1012,1,1e-4
0210-0300-0302-1010,2,2e-4
0210-0300-0303,2,2e-4
0210-0300-0303-1003-1010,3,3e-4
0210-0300-0303-1010,32,0.0032
0210-0300-0303-1010-1013,17,0.0017
0210-0300-0303-1013-1110,1,1e-4
0210-0300-1010,8,8e-4
0210-0302-1010-1012,1,1e-4
0210-0303,1,1e-4
0210-0303-0310,1,1e-4
0210-0303-0310-1010,8,8e-4
0210-0303-0310-1010-1013,2,2e-4
0210-0303-1003-1010,4,4e-4
0210-0303-1010,27,0.0027
0210-0303-1010-1013,51,0.0051
0210-0303-1010-1013-1213,1,1e-4
0210-0303-1010-1113,1,1e-4
0210-0310-0313,1,1e-4
0210-0310-0313-1010,1,1e-4
0210-0310-1010,4,4e-4
0210-0312-1010,1,1e-4
0210-0312-1010-1012,1,1e-4
0210-0313-1010,2,2e-4
0210-0313-1010-1013,4,4e-4
0210-0313-1010-1113,1,1e-4
0210-1010,19,0.0019
0210-1010-1011,1,1e-4
0210-1110,1,1e-4
0211-0213-0301-0303,1,1e-4
0211-0301-0303-1011-1013,3,3e-4
