Phase,Count,Frequency
0002-0021-2020,1,1e-4
0002-2001-2011,1,1e-4
0002-2001-2020,2,2e-4
0002-2010,1,1e-4
0002-2020,14,0.0014
0012,3,3e-4
0012-0020-0202,2,2e-4
0012-0021-0202,1,1e-4
0012-0021-0202-2020,4,4e-4
0012-0021-2021,1,1e-4
0012-0022-0202-2020,3,3e-4
0012-0102-2020,1,1e-4
0012-0202,3,3e-4
0012-0202-1020,1,1e-4
0012-0202-2011-2020,1,1e-4
0012-0202-2012-2020,1,1e-4
0012-0202-2020,94,0.0094
0012-0202-2021,1,1e-4
0012-0212-2020,2,2e-4
0012-2011-2020,2,2e-4
0012-2020,18,0.0018
0020-0202,12,0.0012
0020-0202-0210,2,2e-4
0021-0022-0202-2020,1,1e-4
0021-0102,2,2e-4
0021-0102-2020,1,1e-4
0021-0102-2021,1,1e-4
0021-0202,19,0.0019
0021-0202-0211-2020,3,3e-4
0021-0202-0211-2020-2210,1,1e-4
0021-0202-0221-2020,1,1e-4
0021-0202-1020,1,1e-4
0021-0202-2020,67,0.0067
0021-0202-2021,1,1e-4
0021-0212,1,1e-4
0021-0212-0221-2020,1,1e-4
0021-0212-2020,1,1e-4
0021-0222,1,1e-4
0021-2020,7,7e-4
0022,2,2e-4
0022-0102-2020,2,2e-4
0022-0202,18,0.0018
0022-0202-0212-2020,1,1e-4
0022-0202-1020,2,2e-4
0022-0202-2020,76,0.0076
0022-0202-2021,4,4e-4
0022-0202-2022,1,1e-4
0022-0212-2020,7,7e-4
0022-0212-2021,1,1e-4
0022-0222-2020,1,1e-4
0022-1020,1,1e-4
0022-2020,16,0.0016
0022-2021,1,1e-4
0102,2,2e-4
0102-0121-2020,1,1e-4
0102-1002-2020,1,1e-4
0102-1020,2,2e-4
0102-2001-2020,2,2e-4
0102-2020,50,0.005
0112-0120-0202-2020,4,4e-4
0112-0121-0202-2020,7,7e-4
0112-0122-0202-2020,2,2e-4
0112-0202,4,4e-4
0112-0202-1012,1,1e-4
0112-0202-1012-2020,1,1e-4
0112-0202-1020-1021,1,1e-4
0112-0202-1120-2020,1,1e-4
0112-0202-2011-2020,2,2e-4
0112-0202-2012-2020,1,1e-4
0112-0202-2020,36,0.0036
0112-0212-2020,1,1e-4
0112-2020,9,9e-4
0120-0200-2020,1,1e-4
0120-0201-0210-2020,1,1e-4
0120-0201-2020,1,1e-4
0120-0202,8,8e-4
0120-0202-0210,3,3e-4
0120-0202-0210-2020,4,4e-4
0120-0202-0210-2120,1,1e-4
0120-0202-0211-2020,2,2e-4
0120-0202-0220-2020,1,1e-4
0120-0202-1020,2,2e-4
0120-0202-2020,94,0.0094
0120-0210-2020,2,2e-4
0120-2020,9,9e-4
0121,1,1e-4
0121-0202,4,4e-4
0121-0202-0211-2020,6,6e-4
0121-0202-1021-2020,2,2e-4
0121-0202-1120-2020,2,2e-4
0121-0202-2020,78,0.0078
0121-0202-2120,1,1e-4
0121-0212-2020,1,1e-4
0121-2020,3,3e-4
0122,3,3e-4
0122-0202,3,3e-4
0122-0202-1021-2020,1,1e-4
0122-0202-1022-2020,1,1e-4
0122-0202-1120-2020,1,1e-4
0122-0202-2020,41,0.0041
0122-0202-2020-2201,1,1e-4
0122-0212-2020,3,3e-4
0122-0212-2021,1,1e-4
0122-1120-2020,1,1e-4
0122-2020,8,8e-4
0200,2,2e-4
0200-1020,2,2e-4
0200-1220-2020,1,1e-4
0200-2010,1,1e-4
0200-2020,19,0.0019
0201,5,5e-4
0201-0220-2020,1,1e-4
0201-1200,1,1e-4
0201-1200-2020,6,6e-4
0201-2000,2,2e-4
0201-2020,44,0.0044
0201-2020-2100,2,2e-4
0201-2020-2210,1,1e-4
0202,609,0.0609
0202-0210,8,8e-4
0202-0210-0220-2020,1,1e-4
0202-0210-1020,1,1e-4
0202-0210-2020,83,0.0083
0202-0210-2020-2110,2,2e-4
0202-0210-2110,1,1e-4
0202-0210-2120,1,1e-4
0202-0211,1,1e-4
0202-0211-0221-2020,2,2e-4
0202-0211-1210-2020,2,2e-4
0202-0211-2020,27,0.0027
0202-0211-2020-2210,1,1e-4
0202-0211-2021,1,1e-4
0202-0212,1,1e-4
0202-0212-0220-2020,2,2e-4
0202-0212-0221-2120,1,1e-4
0202-0212-1220-2020,1,1e-4
0202-0212-2020,4,4e-4
0202-0220,20,0.002
0202-0220-1002-2020,1,1e-4
0202-0220-1020,1,1e-4
0202-0220-2020,87,0.0087
0202-0220-2020-2120,1,1e-4
0202-0220-2120,5,5e-4
0202-0220-2220,2,2e-4
0202-0221,6,6e-4
0202-0221-1002-2020,1,1e-4
0202-0221-1120-2020,1,1e-4
0202-0221-1220-2020,3,3e-4
0202-0221-2020,39,0.0039
0202-0221-2020-2120,1,1e-4
0202-0221-2120,3,3e-4
0202-0222-1120-2020,1,1e-4
0202-0222-2020,5,5e-4
0202-1002,6,6e-4
0202-1002-1021-2020,2,2e-4
0202-1002-2000,3,3e-4
0202-1002-2001-2020,4,4e-4
0202-1002-2010,2,2e-4
0202-1002-2020,67,0.0067
0202-1012,4,4e-4
0202-1012-1021-2020,2,2e-4
0202-1012-1022,1,1e-4
0202-1012-2011-2020,2,2e-4
0202-1012-2020,66,0.0066
0202-1020,27,0.0027
0202-1020-1200,1,1e-4
0202-1020-1210,1,1e-4
0202-1021,4,4e-4
0202-1021-1102-2020-2100,1,1e-4
0202-1021-2020,19,0.0019
0202-1021-2021,2,2e-4
0202-1022,12,0.0012
0202-1022-1112,1,1e-4
0202-1022-2020,28,0.0028
0202-1022-2021,3,3e-4
0202-1102,2,2e-4
0202-1102-2010,1,1e-4
0202-1102-2020,21,0.0021
0202-1102-2020-2100,5,5e-4
0202-1102-2020-2101,2,2e-4
0202-1102-2020-2102,1,1e-4
0202-1102-2101,1,1e-4
0202-1102-2120,1,1e-4
0202-1120,8,8e-4
0202-1120-1200-2020,4,4e-4
0202-1120-1200-2120,1,1e-4
0202-1120-1201-2020,2,2e-4
0202-1120-1210-2020,10,0.001
0202-1120-1220-2020,1,1e-4
0202-1120-2011-2020,1,1e-4
0202-1120-2012-2020,1,1e-4
0202-1120-2020,29,0.0029
0202-1120-2120,2,2e-4
0202-1121-2020,1,1e-4
0202-1200,8,8e-4
0202-1200-2000,3,3e-4
0202-1200-2010,1,1e-4
0202-1200-2020,76,0.0076
0202-1200-2020-2100,5,5e-4
0202-1200-2020-2120,1,1e-4
0202-1200-2020-2200,2,2e-4
0202-1200-2020-2210,1,1e-4
0202-1200-2120,1,1e-4
0202-1201,2,2e-4
0202-1201-1210-2020,4,4e-4
0202-1201-1220-2020,2,2e-4
0202-1201-2001,2,2e-4
0202-1201-2001-2020,3,3e-4
0202-1201-2011-2020-2101,1,1e-4
0202-1201-2020,25,0.0025
0202-1201-2020-2101,1,1e-4
0202-1201-2020-2201-2210,1,1e-4
0202-1201-2120,1,1e-4
0202-1201-2201,1,1e-4
0202-1202-2020,6,6e-4
0202-1202-2020-2201,1,1e-4
0202-1210,2,2e-4
0202-1210-1220-2020,1,1e-4
0202-1210-2020,64,0.0064
0202-1210-2020-2110,1,1e-4
0202-1210-2020-2210,2,2e-4
0202-1210-2120,3,3e-4
0202-1210-2220,1,1e-4
0202-1211-2020,2,2e-4
0202-1211-2120,1,1e-4
0202-1220,5,5e-4
0202-1220-2020,27,0.0027
0202-1220-2020-2202,1,1e-4
0202-1220-2120,2,2e-4
0202-1221-2021,1,1e-4
0202-2000,22,0.0022
0202-2000-2101,1,1e-4
0202-2000-2201,1,1e-4
0202-2001,11,0.0011
0202-2001-2002-2020,1,1e-4
0202-2001-2020,71,0.0071
0202-2002,7,7e-4
0202-2002-2020,87,0.0087
0202-2002-2020-2021,1,1e-4
0202-2002-2021,3,3e-4
0202-2010,29,0.0029
0202-2010-2011,1,1e-4
0202-2010-2100,2,2e-4
0202-2010-2200,1,1e-4
