Phase,Count,Frequency
0000,14,0.0014
0000-0100,1,1e-4
0000-0300,2,2e-4
0000-0301,1,1e-4
0000-0303,4,4e-4
0001,2,2e-4
0001-0301,1,1e-4
0001-0301-0303,1,1e-4
0001-0303,1,1e-4
0002-0010,1,1e-4
0002-0010-0302,3,3e-4
0003,3,3e-4
0003-0010,1,1e-4
0003-0010-0303,3,3e-4
0003-0011-0303,2,2e-4
0003-0303,20,0.002
0010,458,0.0458
0010-0011,8,8e-4
0010-0011-0111,1,1e-4
0010-0011-0300-0301,1,1e-4
0010-0011-0301,4,4e-4
0010-0012,5,5e-4
0010-0012-0300-0302,1,1e-4
0010-0012-0302,3,3e-4
0010-0013,12,0.0012
0010-0013-0200-0303,1,1e-4
0010-0013-0303,25,0.0025
0010-0013-0313,1,1e-4
0010-0100,1,1e-4
0010-0110,3,3e-4
0010-0110-0300,1,1e-4
0010-0110-0303,1,1e-4
0010-0113,1,1e-4
0010-0113-0303,2,2e-4
0010-0200,3,3e-4
0010-0200-0303,1,1e-4
0010-0210,1,1e-4
0010-0300,96,0.0096
0010-0300-0301,2,2e-4
0010-0300-0302,5,5e-4
0010-0300-0303,36,0.0036
0010-0301,5,5e-4
0010-0302,9,9e-4
0010-0303,97,0.0097
0010-0303-0310,2,2e-4
0010-0310,12,0.0012
0010-0312,1,1e-4
0010-0313,9,9e-4
0011,27,0.0027
0011-0201,1,1e-4
0011-0301,31,0.0031
0011-0301-0303,3,3e-4
0011-0303,3,3e-4
0011-0303-0311,1,1e-4
0011-0311,1,1e-4
0012,8,8e-4
0012-0112-0302,1,1e-4
0012-0302,16,0.0016
0012-0302-0303,1,1e-4
0012-0312,1,1e-4
0013,25,0.0025
0013-0303,77,0.0077
0013-0313,10,0.001
0100,3,3e-4
0100-0300-0303,1,1e-4
0100-0303,1,1e-4
0100-0303-1000,1,1e-4
0101-0301,1,1e-4
0103,2,2e-4
0103-0303,1,1e-4
0103-0303-1003,1,1e-4
0103-0303-1010,1,1e-4
0110,9,9e-4
0110-0300,4,4e-4
0110-0300-0302,1,1e-4
0110-0300-0303,2,2e-4
0110-0302,1,1e-4
0110-0303,2,2e-4
0110-0310,1,1e-4
0111,1,1e-4
0111-0301,1,1e-4
0111-0303,1,1e-4
0112,1,1e-4
0112-0302-1010,1,1e-4
0113,5,5e-4
0113-0303,5,5e-4
0113-0303-1010-1013,1,1e-4
0113-0313,1,1e-4
0113-1013,1,1e-4
0200,3,3e-4
0200-0303,1,1e-4
0200-1010,1,1e-4
0210,7,7e-4
0210-0300,2,2e-4
0210-0303,2,2e-4
0210-0303-1010,3,3e-4
0210-1010,2,2e-4
0211,2,2e-4
0211-1010-1011,1,1e-4
0212-0302,1,1e-4
0300,118,0.0118
0300-0301,3,3e-4
0300-0301-1010,3,3e-4
0300-0301-1010-1011,4,4e-4
0300-0302,5,5e-4
0300-0302-1000,1,1e-4
0300-0302-1002-1010,1,1e-4
0300-0302-1010,8,8e-4
0300-0302-1010-1012,3,3e-4
0300-0303,48,0.0048
0300-0303-0310-1010,1,1e-4
0300-0303-1000,6,6e-4
0300-0303-1000-1003,3,3e-4
0300-0303-1003-1010,6,6e-4
0300-0303-1010,101,0.0101
0300-0303-1010-1013,30,0.003
0300-0303-1010-1110,1,1e-4
0300-0303-1100,1,1e-4
0300-0303-1110,3,3e-4
0300-0310,1,1e-4
0300-1000,26,0.0026
0300-1010,313,0.0313
0300-1010-1110,2,2e-4
0300-1010-1200,1,1e-4
0300-1110,4,4e-4
0300-1200,1,1e-4
0301,107,0.0107
0301-0303,20,0.002
0301-0303-1001,1,1e-4
0301-0303-1001-1003,3,3e-4
0301-0303-1001-1103,1,1e-4
0301-0303-1003-1011,4,4e-4
0301-0303-1011,8,8e-4
0301-0303-1011-1013,6,6e-4
0301-1000-1001,2,2e-4
0301-1001,26,0.0026
0301-1010,5,5e-4
0301-1010-1011,16,0.0016
0301-1011,134,0.0134
0301-1101,2,2e-4
0301-1111,2,2e-4
0302,157,0.0157
0302-0303,2,2e-4
0302-0303-1002-1003,1,1e-4
0302-0310-1010,1,1e-4
0302-0310-1010-1012,1,1e-4
0302-0312,1,1e-4
0302-1000,1,1e-4
0302-1000-1002,1,1e-4
0302-1002,24,0.0024
0302-1002-1010,7,7e-4
0302-1002-1011,1,1e-4
0302-1010,24,0.0024
0302-1010-1012,48,0.0048
0302-1010-1112,1,1e-4
0302-1012,143,0.0143
0302-1102,2,2e-4
0302-1112,1,1e-4
0302-1202,1,1e-4
0303,1864,0.1864
0303-0310,4,4e-4
0303-0310-1003-1010,1,1e-4
0303-0310-1010,7,7e-4
0303-0311,2,2e-4
0303-0311-1011,1,1e-4
0303-0311-1011-1013,1,1e-4
0303-0313,1,1e-4
0303-1000,13,0.0013
0303-1000-1003,11,0.0011
0303-1000-1100,2,2e-4
0303-1000-1103,3,3e-4
0303-1001,5,5e-4
0303-1003,355,0.0355
0303-1003-1010,94,0.0094
0303-1003-1010-1203,1,1e-4
0303-1003-1011,3,3e-4
0303-1003-1103,4,4e-4
0303-1003-1203,1,1e-4
0303-1010,271,0.0271
0303-1010-1013,236,0.0236
0303-1010-1013-1113,2,2e-4
0303-1010-1013-1203,1,1e-4
0303-1010-1103,5,5e-4
0303-1010-1110,1,1e-4
0303-1010-1113,4,4e-4
0303-1010-1200,1,1e-4
0303-1010-1203,2,2e-4
0303-1010-1210,1,1e-4
0303-1010-1213,1,1e-4
0303-1010-1300,3,3e-4
0303-1010-1303,1,1e-4
0303-1011,7,7e-4
0303-1011-1013,4,4e-4
0303-1011-1103,1,1e-4
0303-1013,598,0.0598
0303-1013-1113,3,3e-4
0303-1013-1313,1,1e-4
0303-1100,1,1e-4
0303-1103,8,8e-4
0303-1110,5,5e-4
0303-1113,9,9e-4
0303-1200,1,1e-4
0303-1203,3,3e-4
0303-1213,1,1e-4
0303-1303,1,1e-4
0310,13,0.0013
0310-0312-1010-1012,1,1e-4
0310-0313-1010,1,1e-4
0310-0313-1010-1013,1,1e-4
0310-1010,30,0.003
0310-1110,1,1e-4
0311,12,0.0012
0311-1010,1,1e-4
0311-1010-1011,2,2e-4
0311-1011,13,0.0013
0311-1111,1,1e-4
0312,7,7e-4
0312-1010,1,1e-4
0312-1010-1012,4,4e-4
0312-1010-1112,1,1e-4
0312-1012,12,0.0012
0312-1012-1112,1,1e-4
0313,25,0.0025
0313-1010,4,4e-4
0313-1010-1013,17,0.0017
0313-1013,58,0.0058
0313-1111,1,1e-4
0313-1113,2,2e-4
1000,105,0.0105
1000-1001,1,1e-4
1000-1002,1,1e-4
1000-1003,3,3e-4
1000-1003-1303,5,5e-4
1000-1100,1,1e-4
1000-1300,1,1e-4
1001,15,0.0015
1001-1010,1,1e-4
1002,11,0.0011
1002-1010,2,2e-4
1002-1302,3,3e-4
1003,112,0.0112
1003-1010,33,0.0033
1003-1010-1203,2,2e-4
1003-1010-1303,11,0.0011
1003-1011,4,4e-4
1003-1011-1303,1,1e-4
1003-1103,2,2e-4
1003-1203,2,2e-4
1003-1203-1303,1,1e-4
1003-1303,40,0.004
1010,2358,0.2358
1010-1011,36,0.0036
1010-1011-1301,2,2e-4
1010-1012,41,0.0041
1010-1012-1202,1,1e-4
1010-1012-1302,5,5e-4
1010-1013,113,0.0113
1010-1013-1113-1303,1,1e-4
1010-1013-1203,1,1e-4
1010-1013-1303,22,0.0022
1010-1013-1313,1,1e-4
1010-1103,2,2e-4
1010-1110,3,3e-4
1010-1112-1302,1,1e-4
1010-1113,4,4e-4
1010-1113-1303,1,1e-4
1010-1200,3,3e-4
1010-1200-1303,1,1e-4
1010-1203,1,1e-4
1010-1300,10,0.001
1010-1300-1303,3,3e-4
1010-1302,1,1e-4
1010-1303,25,0.0025
1011,150,0.015
1011-1013,1,1e-4
1011-1013-1303,1,1e-4
1011-1111,2,2e-4
1011-1301,4,4e-4
1011-1303,3,3e-4
1011-1311,1,1e-4
1012,86,0.0086
1012-1013,1,1e-4
1012-1302,8,8e-4
1013,208,0.0208
1013-1113,3,3e-4
1013-1113-1303,1,1e-4
1013-1203,1,1e-4
1013-1303,48,0.0048
1100,1,1e-4
1100-1303,1,1e-4
1101,2,2e-4
1102,1,1e-4
1103,10,0.001
1103-1303,3,3e-4
1110,5,5e-4
1111,2,2e-4
1113,4,4e-4
1113-1303,1,1e-4
1200,1,1e-4
